code,name,description,academicYear,level
GEOL301A,Informatique appliquée à la géologie,Informatique géologique,2024-2025,b3
GEOL301B,Système d’Information Géographique 2,Informatique géologique,2024-2025,b3
GEOL302A,Cartographie géologique,Levés et cartographie géologique,2024-2025,b3
GEOL302B,Field geology,Levés et cartographie géologique,2024-2025,b3
GEOL304A,Gîtes métallifères,Exploration et évaluation minière,2024-2025,b3
GEOL304B,Géostatistique minière,Exploration et évaluation minière,2024-2025,b3
GEOL305A,Législation et fiscalité,Législation et économie,2024-2025,b3
GEOL305B,Économie des minéraux,Législation et économie,2024-2025,b3
GEOL306A,Géodynamique,Géologie d’ensembles régionaux,2024-2025,b3
GEOL306B,Analyse structurale,Géologie d’ensembles régionaux,2024-2025,b3
GEOL306C,Géologie d’Afrique et du Congo,Géologie d’ensembles régionaux,2024-2025,b3
GEOL307A,Géophysique appliquée,Géosciences appliquées,2024-2025,b3
GEOL307B,Prospection géochimique,Géosciences appliquées,2024-2025,b3
GEOL307C,Géo-matériaux,Géosciences appliquées,2024-2025,b3
LANG308A,Anglais technique 3,Langue,2024-2025,b3
GEOL308A,Stage,Stage et projet de fin de cycle,2024-2025,b3
GEOL308B,Projet de géologie de fin de bachelier en équipe,Stage et projet de fin de cycle,2024-2025,b3
