code,name,description,academicYear,level
GEOL404,Hydrologie et hydrogéologie,M1 Tronc commun,2025-2026,m1_environnement
GEOL405,Géologie de l'ingénieur,M1 Tronc commun,2025-2026,m1_environnement
GEOL410,Géologie structurale,M1 Tronc commun,2025-2026,m1_environnement
GEOL415,Risques naturels,M1 Tronc commun,2025-2026,m1_environnement
GEOL425,Volcanologie,M1 Tronc commun,2025-2026,m1_environnement
GEOL430,Compléments de minéralogie,M1 Tronc commun,2025-2026,m1_environnement
PROJ450,Projet de géologie,M1 Tronc commun,2025-2026,m1_environnement
CHIM512A,Traitement de l'eau et des rejets,Option Environnement et hydrogéologie,2025-2026,m1_environnement
ENVI401A,Géochimie de l'environnement,Option Environnement et hydrogéologie,2025-2026,m1_environnement
ENVI501,Environnement et gestion des rejets miniers,Option Environnement et hydrogéologie,2025-2026,m1_environnement
GEOL451,Stockage géologique des déchets,Option Environnement et hydrogéologie,2025-2026,m1_environnement
GEOL520A,Hydrogéologie appliquée,Option Environnement et hydrogéologie,2025-2026,m1_environnement
PROJ455,Projet d'hydrogéophysique,Option Environnement et hydrogéologie,2025-2026,m1_environnement
GEOL441,Géostatistique avancée,Option Environnement et hydrogéologie,2025-2026,m1_environnement
