code,name,description,academicYear,level
GEOL404,Hydrologie et hydrogéologie,M1 Tronc commun,2025-2026,m1_exploration
GEOL405,Géologie de l'ingénieur,M1 Tronc commun,2025-2026,m1_exploration
GEOL410,Géologie structurale,M1 Tronc commun,2025-2026,m1_exploration
GEOL415,Risques naturels,M1 Tronc commun,2025-2026,m1_exploration
GEOL425,Volcanologie,M1 Tronc commun,2025-2026,m1_exploration
GEOL430,Compléments de minéralogie,M1 Tronc commun,2025-2026,m1_exploration
PROJ450,Projet de géologie,M1 Tronc commun,2025-2026,m1_exploration
GEOL440,Prospection géochimique,Option Exploration et géologie minières,2025-2026,m1_exploration
GEOL441,Géostatistique avancée,Option Exploration et géologie minières,2025-2026,m1_exploration
GEOL442,Géologie du pétrole et géologie des combustibles solides,Option Exploration et géologie minières,2025-2026,m1_exploration
GEOL443,Gîtologie et métallogénie du Congo,Option Exploration et géologie minières,2025-2026,m1_exploration
GEOL444,Géophysique minière,Option Exploration et géologie minières,2025-2026,m1_exploration
META301A,Introduction à la minéralurgie,Option Exploration et géologie minières,2025-2026,m1_exploration
