code,name,description,academicYear,level
GEOL101A,Introduction à la Pétrologie,Géosciences II,2025-2026,b1
GEOL101B,Géologie Générale,Géosciences II,2025-2026,b1
GEOL102A,Minéralogie descriptive,Étude des minéraux,2025-2026,b1
GEOL102B,Optique cristalline,Étude des minéraux,2025-2026,b1
GEOL102C,Cristallographie géométrique,Étude des minéraux,2025-2026,b1
GEOL103A,Stratigraphie,Géologie sédimentaire,2025-2026,b1
GEOL103B,Paléontologie,Géologie sédimentaire,2025-2026,b1
GEOL104A,Statistique et probabilité,Analyse statistiques et informatique,2025-2026,b1
GEOL104B,Programmation procédurale,Analyse statistiques et informatique,2025-2026,b1
GEOL105A,Topographie et cartographie,Représentation géologique,2025-2026,b1
GEOL106A,Chimie analytique,Sciences chimiques,2025-2026,b1
GEOL106B,Chimie inorganique,Sciences chimiques,2025-2026,b1
GEOL106C,Chimie organique,Sciences chimiques,2025-2026,b1
LANG108A,Anglais technique 1,Langue,2025-2026,b1
GEOL109A,Géologie de l’environnement,Géologie et milieux naturels,2025-2026,b1
GEOL109B,"Sol, Végétation et Minéralisation",Géologie et milieux naturels,2025-2026,b1
SECO198A,"Économie Générale, Finance et Comptabilité",Sciences économiques,2025-2026,b1
RECH100A,Initiation à la Recherche 1,Recherche,2025-2026,b1
STG0101A,Stage d’imprégnation,Stage et projet tutoré,2025-2026,b1
STG0101B,Projet tutoré,Stage et projet tutoré,2025-2026,b1
