code,name,description,academicYear,level
GEOL502,Évaluation des gisements et calcul des réserves,tronc commun,2025-2026,m2_exploration
GEOL503,Géologie des terrains superficiels,tronc commun,2025-2026,m2_exploration
GEOL515,Contrôle géologique des exploitations minières,tronc commun,2025-2026,m2_exploration
PROJ550,Rédaction et défense d'un mémoire,tronc commun,2025-2026,m2_exploration
SSHA401,Éthique et professionnalisme,tronc commun,2025-2026,m2_exploration
SSHA410,Responsabilité sociétale des entreprises,tronc commun,2025-2026,m2_exploration
STAG502,Stage en entreprise,tronc commun,2025-2026,m2_exploration
GEOL512,Prospection minière,Techniques pour localiser et évaluer des gisements miniers,2025-2026,m2_exploration
GEOL541,Méthodes sismiques en géophysique,Utilisation des ondes sismiques pour étudier la structure du sous-sol,2025-2026,m2_exploration
GEOL542,Méthodes gravimétriques et magnétiques en géophysique,Mesure des anomalies gravimétriques et magnétiques pour détecter les structures géologiques,2025-2026,m2_exploration
GEOL543,Méthodes électriques et électromagnétiques en géophysique,Application de techniques électriques et électromagnétiques pour explorer le sous-sol,2025-2026,m2_exploration
PROJ541,Projet de modélisation géologique,Développement de modèles géologiques 3D pour des zones d'étude,2025-2026,m2_exploration
PROJ542,Projet de contrôle géologique des exploitations minières,Analyse et suivi de la qualité géologique dans les mines,2025-2026,m2_exploration
PROJ543,Projet de recherche minière et pétrolière,Travail de recherche appliquée sur des gisements miniers et pétroliers,2025-2026,m2_exploration
