"profID","courseCode","userRole","academicYear","","","","","","","","","","","","","","","","","","",""
"UNI0049","COMM196A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0060","COMM196A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0048","CHIM193B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0050","CHIM193B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0059","CHIM193B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0051","CHIM193A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0004","SPA198A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0068","COMM196B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0042","GEOS199B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0064","GEOS199B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0012","MATH192B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","MATH192B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0045","PHYS194B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0047","PHYS194B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","SCIV195B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0017","SCIV195B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0032","SCIV195B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0015","GEOS199A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0034","GEOS199A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0040","GEOS199A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","SCIV195A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0017","SCIV195A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0066","COMM196C","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0057","MATH191A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0065","MATH191A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0052","MATH191B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0057","MATH191B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0043","MATH192A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0057","MATH192A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0061","PHYS194A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","SPA198C","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0054","SPA198B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","LANG108A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0051","GEOL106A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0058","GEOL106B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0061","GEOL106B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0062","GEOL106C","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0008","GEOL102C","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0010","GEOL102C","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0053","SECO198A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0053","SECO198A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOL109A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0034","GEOL109A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0010","GEOL101B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0016","GEOL101B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","RECH100A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0005","GEOL101A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0029","GEOL102A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0010","GEOL102A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0011","GEOL102B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0029","GEOL102B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0002","GEOL103B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0009","GEOL103B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0044","GEOL104B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0008","STG0101B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0056","GEOL109B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","STG0101A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0043","GEOL104A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0063","GEOL104A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0009","GEOL103A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","GEOL105A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","LANG208A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0008","GEOL205C","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0010","GEOL205C","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0023","GEOL206B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0031","GEOL206B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0035","GEOL206B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOL205B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0034","GEOL205B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0027","GEOL205B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0002","GEOL202A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0034","GEOL202A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0039","GEOL202A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0017","GEOL204B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0019","GEOL204B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0019","GEOL204A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","GEOL204A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOL203C","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0017","GEOL203C","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0019","GEOL203C","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0035","GEOL203C","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOL206A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0028","GEOL206A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0012","GEOL204C","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOL204C","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0020","GEOL201B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0023","GEOL201B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0010","GEOL201A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0016","GEOL201A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0035","GEOL201A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0005","GEOL201C","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0011","GEOL201C","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0031","GEOL201C","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0008","STG0101D","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0008","GEOL205A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0010","GEOL205A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0010","RECH200A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","RECH200A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","STG0101C","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOL203B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0012","GEOL203A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","GEOL203A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0002","GEOL306B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0009","GEOL306B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","LANG308A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0035","GEOL302A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0039","GEOL302A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0021","GEOL305B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","GEOL302B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0035","GEOL306A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0039","GEOL306A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0002","GEOL306C","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0016","GEOL306C","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0012","GEOL307C","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0015","GEOL307C","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOL307A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0028","GEOL307A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0055","GEOL304B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0008","GEOL304A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0024","GEOL304A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOL301A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0017","GEOL301A","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0025","GEOL305A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","GEOL308B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0010","GEOL307B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0023","GEOL307B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","GEOL308A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOL301B","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0028","GEOL301B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0040","GEOL301B","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0029","GEOL430","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","ENVI501","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0023","ENVI401A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOL405","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0009","GEOL410","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0015","GEOL410","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0028","GEOL410","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0036","GEOL520A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0017","GEOL404","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0036","GEOL404","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","PROJ450","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","PROJ455","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOL415","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0016","GEOL415","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOL415","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0015","GEOL451","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0036","CHIM512A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0016","GEOL425","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0029","GEOL430","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOL405","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOL442","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0009","GEOL410","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0037","GEOL444","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0055","GEOL441","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0008","GEOL443","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0017","GEOL404","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0036","GEOL404","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0067","META301A","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0041","PROJ450","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0023","GEOL440","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0006","GEOL415","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0016","GEOL415","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOL415","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0016","GEOL425","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0015","GEOL410","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0028","GEOL410","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0010","GEOL430","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0029","GEOL430","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","DIFO402","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","ESGE403","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEOL405","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0009","GEOL410","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","GEORO406","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0017","GEOL404","ASSISTANT","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0036","GEOL404","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0018","MECA401","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
"UNI0046","PROG404","PROFESSEUR","2025-2026","","","","","","","","","","","","","","","","","","",""
